change_value_inputs;new_ofv_old_params;new_opt_params;new_opt_ofv
0.7798389483047842;0.22369680092500832;"[ 0.00000000e+00 -4.25008852e-01  1.99762279e+00  2.10811156e-01
  4.68264313e-02  1.95480041e+01  1.66725849e+02  5.15433267e+01
  2.11091058e+00  1.25335065e+02  6.51258972e+01  9.42797739e-01
  1.80557984e-01  1.23570979e+00  5.66683952e-01  3.32282758e+01
  5.92800013e-01  2.60696497e-04  5.72878531e-01  2.04870312e-01
  1.44620331e+03  1.47522609e-02  9.99743191e-01]";0.09487859294670109
0.9490221276652158;0.09815956606226584;"[ 0.00000000e+00 -4.98083984e-01  1.34095465e+00  2.65115474e-01
  2.79068215e-01  8.55735773e+01  1.33391411e+02  1.39306407e+02
  2.96245554e+00  2.82775922e-01  9.01001618e+01  1.88281191e+00
  4.21860657e-01  2.18257812e+00  9.41548811e-01  3.99938942e+01
  7.99243219e-01  6.93959936e-05  5.66704575e-01  1.94540488e-01
  7.34872463e+03  9.59296681e-03  9.96404373e-01]";0.09074347077445788
11.189.977.028.660.100;0.1088575579432961;"[ 0.00000000e+00 -5.91688561e-01  1.31448144e+00  1.79158625e-01
  4.08195296e-01  9.68530127e+01  1.77777560e+02  1.22418886e+02
  2.01534150e+00  7.42139598e+01  2.57521401e+02  3.80079037e+00
  6.23821879e-01  1.35674247e+00  9.95823793e-01  6.43525904e+01
  6.73930836e-01  3.19024423e-05  1.79068077e-01  1.89198803e-01
  9.52477246e+03  9.80364030e-03  9.98222942e-01]";0.07799641019944392
0.84124586522675;0.16227963145443647;"[ 0.00000000e+00 -4.80286366e-01  1.99496202e+00  2.01772369e-01
  8.79028804e-04  4.35108929e+01  1.35224129e+02  8.17328186e+01
  2.89301252e+00  9.75428076e+01  3.00852667e+01  1.04577219e+00
  1.26320940e+00  9.82084641e-01  9.94959630e-01  8.39982573e+01
  3.11885550e-01  6.99852271e-04  4.34343861e-01  2.74474892e-01
  3.89685095e+03  1.33880799e-02  9.97162192e-01]";0.0898831253208422
0.8377258780737462;0.1652996539004996;"[ 0.00000000e+00 -4.60859288e-01  1.99251126e+00  2.04776090e-01
  8.67271469e-03  3.70112413e+01  6.72168937e+01  7.46865479e+01
  2.59350058e+00  1.64606906e+02  2.88990137e+01  2.68159697e+00
  1.11176072e+00  1.29537937e+00  9.63072715e-01  6.06381458e+01
  1.33707006e-01  6.36899809e-06  9.14224286e-01  2.42838946e-01
  1.43610276e+03  1.36626113e-02  9.97590215e-01]";0.08985200383768532
10.157.756.869.209.100;0.08581248117261486;"[ 0.00000000e+00 -5.48933700e-01  1.36048431e+00  2.51136824e-01
  2.92108378e-01  9.24068620e+01  1.65470252e+02  1.63216731e+02
  2.63244082e+00  1.07308418e+02  4.75769676e+01  2.70800795e+00
  1.69711115e+00  1.79986285e+00  7.91493758e-01  5.48236011e+01
  1.76231921e-01  1.44377395e-04  1.06003388e-01  1.73288756e-01
  5.25576936e+03  9.62288073e-03  9.95390462e-01]";0.08547888590773467
1.015.913.793.548.430;0.08580882184839134;"[ 0.00000000e+00 -5.32549229e-01  1.36162318e+00  1.67284869e-01
  5.06117501e-01  9.28516923e+01  1.28401471e+02  1.64325085e+02
  2.60559619e+00  1.36304948e+02  1.39646998e+01  1.74610659e+00
  1.56740015e+00  7.86192733e-01  9.15164293e-01  7.09065029e+01
  3.18176639e-01  4.35771397e-04  4.68937049e-01  2.05672902e-01
  3.43446002e+03  9.17261621e-03  9.98676071e-01]";0.08568419515368353
10.672.004.792.756.600;0.09115392914194054;"[ 0.00000000e+00 -6.10077031e-01  1.37859901e+00  2.01907541e-01
  4.14302201e-01  9.75231316e+01  1.89777405e+02  1.86940024e+02
  2.51457278e+00  7.98925238e+01  1.72733643e+02  5.25927214e-01
  1.07868305e+00  6.25760063e-01  9.39931488e-01  8.15929890e+01
  9.71309475e-01  4.79494085e-05  2.66446670e-01  1.68092188e-01
  5.45164879e+03  9.94396234e-03  9.95357406e-01]";0.08231780712946812
11.747.158.970.388.900;0.13947116014442051;"[ 0.00000000e+00 -6.68480362e-01  1.12019854e+00  1.47961316e-01
  3.41993127e-01  2.17906325e+01  1.98530410e+02  4.31118335e+01
  7.95678926e-01  1.81043440e+02  3.11808148e+02  3.37797122e+00
  1.30454087e+00  1.38013694e+00  9.76026868e-01  2.85633179e+01
  7.26661994e-01  1.75259001e-04  1.17283794e-01  1.77890472e-01
  7.91970687e+03  1.06524685e-02  9.97212370e-01]";0.07451489571078762
11.122.276.624.303.100;0.10605125654993963;"[ 0.00000000e+00 -6.38211478e-01  1.10370212e+00  1.64385270e-01
  3.17368385e-01  9.27811673e+01  1.59062412e+02  4.66060266e+01
  1.23001478e+00  9.07777446e+01  3.30859720e+02  3.74084643e+00
  2.56959592e-01  2.15407858e+00  7.64175056e-01  4.29664799e+01
  1.43835196e-01  2.78251497e-04  7.69982569e-01  1.60892698e-01
  1.70141051e+03  1.06815105e-02  9.99180360e-01]";0.07773147858141838
