Obj_fct_values;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro
10.697.471.111.420.400;0.0;0.8887361728721546;1.476.619.678.906.300;0.10653797971496604;0.005302309797464044;5.049.421.021.804.930;7.681.566.231.919.300;7.489.645.984.882.070;0.9579399664418244;2.968.670.675.142.990;3.915.000.941.870.530;39.696.481.230.639.000;0.0;0.3358880127223922;0.0;0.0;0.0;1.0;1.0;0.0;45.071.242.482.309.500;0.5552052597184872;0.4460838394986249
10.662.295.693.193.100;0.0;0.9956970912992094;15.575.619.650.726.300;0.12487067601012947;0.0050276007336148565;5.812.831.581.641.050;6.752.272.447.517.720;8.323.719.783.504.930;0.8724882502875572;24.368.970.508.658.900;3.949.900.855.374.520;3.607.663.461.095.260;0.0;0.8741505924893738;0.0;0.0;0.0;1.0;1.0;0.0;2.256.639.204.173.620;0.7199221708580457;0.35522185919300797
10.662.295.693.193.100;0.0;0.9956970912992094;15.575.619.650.726.300;0.12487067601012947;0.0050276007336148565;5.812.831.581.641.050;6.752.272.447.517.720;8.323.719.783.504.930;0.8724882502875572;24.368.970.508.658.900;3.949.900.855.374.520;3.607.663.461.095.260;0.0;0.8741505924893738;0.0;0.0;0.0;1.0;1.0;0.0;2.256.639.204.173.620;0.7199221708580457;0.35522185919300797
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.661.209.446.348.800;0.0;0.8369873068489135;16.349.092.992.282.800;0.1227532932016473;0.002361722831406343;5.794.368.332.833.470;10.263.970.172.120.400;9.211.256.474.371.930;0.8175918783135734;19.905.517.517.118.300;379.331.099.181.683;2.911.519.144.807.020;0.0;1.423.753.839.661.250;0.0;0.0;0.0;1.0;1.0;0.0;29.657.090.428.347.400;0.3476069762603113;0.20644011843018412
10.595.227.520.472.300;0.0;0.6931518869795801;15.575.619.650.726.300;0.12013663097250904;0.0050276007336148565;5.812.831.581.641.050;9.256.453.817.789.890;8.323.719.783.504.930;0.8830456255570784;27.569.549.521.110.200;3.949.900.855.374.520;35.014.786.753.624.800;0.0;34.067.347.945.111.900;0.0;0.0;0.0;1.0;1.0;0.0;10.203.611.335.671.300;0.5910579919954446;0.07712348173208372
10.595.227.520.472.300;0.0;0.6931518869795801;15.575.619.650.726.300;0.12013663097250904;0.0050276007336148565;5.812.831.581.641.050;9.256.453.817.789.890;8.323.719.783.504.930;0.8830456255570784;27.569.549.521.110.200;3.949.900.855.374.520;35.014.786.753.624.800;0.0;34.067.347.945.111.900;0.0;0.0;0.0;1.0;1.0;0.0;10.203.611.335.671.300;0.5910579919954446;0.07712348173208372
10.595.227.520.472.300;0.0;0.6931518869795801;15.575.619.650.726.300;0.12013663097250904;0.0050276007336148565;5.812.831.581.641.050;9.256.453.817.789.890;8.323.719.783.504.930;0.8830456255570784;27.569.549.521.110.200;3.949.900.855.374.520;35.014.786.753.624.800;0.0;34.067.347.945.111.900;0.0;0.0;0.0;1.0;1.0;0.0;10.203.611.335.671.300;0.5910579919954446;0.07712348173208372
10.595.227.520.472.300;0.0;0.6931518869795801;15.575.619.650.726.300;0.12013663097250904;0.0050276007336148565;5.812.831.581.641.050;9.256.453.817.789.890;8.323.719.783.504.930;0.8830456255570784;27.569.549.521.110.200;3.949.900.855.374.520;35.014.786.753.624.800;0.0;34.067.347.945.111.900;0.0;0.0;0.0;1.0;1.0;0.0;10.203.611.335.671.300;0.5910579919954446;0.07712348173208372
10.595.227.520.472.300;0.0;0.6931518869795801;15.575.619.650.726.300;0.12013663097250904;0.0050276007336148565;5.812.831.581.641.050;9.256.453.817.789.890;8.323.719.783.504.930;0.8830456255570784;27.569.549.521.110.200;3.949.900.855.374.520;35.014.786.753.624.800;0.0;34.067.347.945.111.900;0.0;0.0;0.0;1.0;1.0;0.0;10.203.611.335.671.300;0.5910579919954446;0.07712348173208372
10.555.500.788.813.800;0.0;0.7643118016012012;19.447.876.380.980.400;0.13597453882015476;0.0006129818858082725;677.903.268.791.072;8.682.718.716.433.760;856.932.505.903.115;0.9306058071303913;2.086.708.119.120.580;39.344.504.997.697.600;3.654.496.567.378.760;0.0;3.406.256.517.962.510;0.0;0.0;0.0;1.0;1.0;0.0;7.763.032.429.986.320;0.7219038171410657;0.12193292599380812
1.055.464.642.900.180;0.0;0.7588277779537229;19.225.429.049.064.500;0.1366057941450053;0.0005064801362042459;8.126.061.604.999.190;7.972.274.798.624.880;8.805.048.346.660.910;0.8413283969465224;18.164.990.750.405.700;3.964.025.116.624.230;3.475.128.500.088.010;0.0;1.661.515.189.703.140;0.0;0.0;0.0;1.0;1.0;0.0;7.247.908.120.909.580;0.8217539408100104;0.2418828661324508
1.055.464.642.900.180;0.0;0.7588277779537229;19.225.429.049.064.500;0.1366057941450053;0.0005064801362042459;8.126.061.604.999.190;7.972.274.798.624.880;8.805.048.346.660.910;0.8413283969465224;18.164.990.750.405.700;3.964.025.116.624.230;3.475.128.500.088.010;0.0;1.661.515.189.703.140;0.0;0.0;0.0;1.0;1.0;0.0;7.247.908.120.909.580;0.8217539408100104;0.2418828661324508
10.517.238.589.262.200;0.0;0.7914658557913103;16.382.281.995.034.000;0.12494260516583311;0.0014045463791125812;52.453.431.016.653.800;8.484.486.376.122.020;8.389.831.411.025.550;0.7866063271382523;1.978.769.138.514.800;3.998.366.641.769.070;37.646.863.792.102.200;0.0;12.197.069.056.547.100;0.0;0.0;0.0;1.0;1.0;0.0;2.600.255.538.445.210;0.46579890266512286;0.19208627460129934
