Obj_fct_value;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro;x
0.5474884153480493;0.0;-9999.0;-9999.0;0.0;0.0;987.288.649.512.082;14.160.540.336.470.800;18.324.442.853.934.100;12.539.846.299.921.100;12.915.113.037.892.900;14.550.040.424.575.300;34.123.433.792.364.000;7.911.640.636.095.580;38.006.938.055.852.200;0.6927192494096733;7.003.586.540.341.540;0.07162404316969029;0.005853300995588451;0.25279247396204474;0.24567301942951592;40.767.913.991.199.900;0.01777933306506385;0.9899133921663623;
0.5474884153480493;0.0;-9999.0;-9999.0;0.0;0.0;987.288.649.512.082;14.160.540.336.470.800;18.324.442.853.934.100;12.539.846.299.921.100;12.915.113.037.892.900;14.550.040.424.575.300;34.123.433.792.364.000;7.911.640.636.095.580;38.006.938.055.852.200;0.6927192494096733;7.003.586.540.341.540;0.07162404316969029;0.005853300995588451;0.25279247396204474;0.24567301942951592;40.767.913.991.199.900;0.01777933306506385;0.9899133921663623;
0.529777642007602;0.0;-9999.0;-9999.0;0.0;0.0;37.845.370.393.990.400;13.637.760.305.816.600;10.624.867.173.255.500;1.998.933.461.269.080;1.483.095.622.350.780;4.862.468.839.250.980;14.752.059.605.126.800;7.631.004.238.749.240;35.963.032.957.603.800;0.6202375322750502;6.752.261.263.712.260;0.3545545748716852;0.0026212839655401776;0.42569785232420565;0.14709970402904188;5.079.330.774.130.200;0.02421753826001749;0.8603431559466844;
0.529777642007602;0.0;-9999.0;-9999.0;0.0;0.0;37.845.370.393.990.400;13.637.760.305.816.600;10.624.867.173.255.500;1.998.933.461.269.080;1.483.095.622.350.780;4.862.468.839.250.980;14.752.059.605.126.800;7.631.004.238.749.240;35.963.032.957.603.800;0.6202375322750502;6.752.261.263.712.260;0.3545545748716852;0.0026212839655401776;0.42569785232420565;0.14709970402904188;5.079.330.774.130.200;0.02421753826001749;0.8603431559466844;
0.5203025333449207;0.0;-9999.0;-9999.0;0.0;0.0;3.966.738.847.700.350;8.027.061.738.535.870;10.398.796.689.651.600;21.678.370.797.535.000;5.165.625.376.589.570;12.513.444.412.082.600;11.383.769.703.199.700;0.3072806933027987;36.304.384.058.886.100;0.9787802227760884;8.635.119.745.758.640;0.6344801054555251;0.006932873275113383;0.6144799754987617;0.3133650199331196;17.933.122.026.763.700;0.01638957296849708;0.9396851199490389;
0.5152192652189341;0.0;-9999.0;-9999.0;0.0;0.0;20.760.289.876.754.000;17.348.242.132.136.800;11.794.815.049.471.400;25.694.399.220.674.900;1.753.987.863.890.560;359.253.914.648.682;0.2038997501680837;15.291.166.225.963.300;3.529.298.880.024.840;0.39517022081684927;995.982.973.613.492;0.432709609064034;0.016722431645528835;0.8602397415481957;0.209491324068936;32.862.598.066.337.600;0.014179177377500907;0.9225727071613875;
0.4818576794378244;0.0;-9999.0;-9999.0;0.0;0.0;2.131.868.410.192.430;7.453.182.178.313.260;9.029.757.053.546.160;12.749.447.159.227.000;1.527.895.057.122.760;5.761.690.533.169.580;0.8129814435243379;0.9841997590008447;32.472.959.849.542.100;0.056156352929044806;4.420.388.094.714.110;0.3685443552640474;0.0026064845981511597;0.5553092103662713;0.16172339733014696;12.946.205.958.567.100;0.013155968918967309;0.9302805392237138;
0.46869766373683575;0.0;-9999.0;-9999.0;0.0;0.0;13.381.946.069.407.700;6.115.391.451.195.210;8.628.275.909.715.870;10.364.418.717.229.400;18.864.696.360.513.800;4.611.462.798.146.760;0.9372864401703165;0.9619845404679914;37.872.449.847.352.000;0.32799084688415114;6.382.958.836.658.160;0.6096315735082671;0.009941510561411793;0.7449825228558178;0.06513554167686669;16.464.032.889.593.400;0.021094909812886864;0.9678008224621936;
0.45852110290580583;0.0;-9999.0;-9999.0;0.0;0.0;6.043.239.942.949.220;8.550.079.634.443.250;8.984.673.480.266.650;17.288.738.487.431.600;172.204.879.424.648;4.526.735.941.566.920;13.045.503.019.732.200;366.312.922.350.975;29.927.306.139.666.500;0.4872287425318572;5.015.598.841.696.990;0.4553683394280632;0.0018514253040338713;0.40414696951131396;0.06261670587680868;1.849.146.769.866.630;0.026376464392398047;0.9607670838039627;
0.45852110290580583;0.0;-9999.0;-9999.0;0.0;0.0;6.043.239.942.949.220;8.550.079.634.443.250;8.984.673.480.266.650;17.288.738.487.431.600;172.204.879.424.648;4.526.735.941.566.920;13.045.503.019.732.200;366.312.922.350.975;29.927.306.139.666.500;0.4872287425318572;5.015.598.841.696.990;0.4553683394280632;0.0018514253040338713;0.40414696951131396;0.06261670587680868;1.849.146.769.866.630;0.026376464392398047;0.9607670838039627;
