Obj_fct_values;snw_dth;snw_ast;snw_amt;snw_amf;snw_pmf;sl0_mse;sl1_mse;sl0_fcy;sl0_bt0;sl1_pwp;sl1_fcy;sl1_bt0;urr_dth;lrr_dth;urr_rsr;urr_tdh;urr_tdr;urr_cst;urr_dro;urr_ulc;lrr_tdh;lrr_cst;lrr_dro
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10826720697104664;0.0;-0.8013961298685043;1.830.437.624.212.780;0.23164147452442674;0.4814397029344768;7.296.574.308.843.340;15.805.153.024.836.100;13.497.378.656.405.000;23.285.443.886.248.100;21.455.999.124.133.700;2.538.093.724.961.890;27.120.633.304.249.600;3.685.301.508.434.760;0.0;0.48835859303937496;8.193.534.552.221.070;0.5339347056168686;0.008650874799733588;0.9858251589466546;8,22E+10;10000.0;0.0;0.0
0.10663538222116908;0.0;-0.7219515224569426;15.030.806.754.299.000;0.18635049881915866;0.39616386187182573;5.845.403.173.841.300;10.742.749.609.605.300;12.430.401.280.477.600;2.487.194.917.249.920;290.238.085.303.414;6.668.550.551.386.820;31.727.043.280.668.600;33.250.979.574.390.000;0.0;0.597803213437324;8.022.485.081.145.610;0.09311594270316975;0.009067092708409275;0.999251943904294;0.00028181792109277515;10000.0;0.0;0.0
0.10663538222116908;0.0;-0.7219515224569426;15.030.806.754.299.000;0.18635049881915866;0.39616386187182573;5.845.403.173.841.300;10.742.749.609.605.300;12.430.401.280.477.600;2.487.194.917.249.920;290.238.085.303.414;6.668.550.551.386.820;31.727.043.280.668.600;33.250.979.574.390.000;0.0;0.597803213437324;8.022.485.081.145.610;0.09311594270316975;0.009067092708409275;0.999251943904294;0.00028181792109277515;10000.0;0.0;0.0
0.10588555402172073;0.0;-0.7564854676791958;14.443.495.981.291.500;0.1789353576801498;0.31396740639591036;63.984.604.565.278.000;1.560.108.902.885.530;12.067.532.966.650.100;28.127.777.855.824.800;18.695.146.731.035.600;12.422.161.246.770.100;3.903.799.679.506.520;25.178.838.926.881.700;0.0;0.8446676713628906;7.399.206.981.756.740;0.8247583048983778;0.008589413694673531;0.9840707043979422;0.0002167363384399379;10000.0;0.0;0.0
0.1047034521319592;0.0;-0.741392496487729;13.738.756.498.903.000;0.1568375367413064;0.3954488501354264;631.425.495.563.807;13.764.620.465.741.800;12.879.414.291.854.700;22.126.328.908.349.600;3.369.356.591.698.440;10.900.525.696.006.200;19.702.406.045.921.200;11.930.803.381.326.400;0.0;0.6678543645735175;6.956.257.611.605.430;0.6189607968543076;0.008981184819951693;0.9869497238889374;7,55E+10;10000.0;0.0;0.0
0.1047034521319592;0.0;-0.741392496487729;13.738.756.498.903.000;0.1568375367413064;0.3954488501354264;631.425.495.563.807;13.764.620.465.741.800;12.879.414.291.854.700;22.126.328.908.349.600;3.369.356.591.698.440;10.900.525.696.006.200;19.702.406.045.921.200;11.930.803.381.326.400;0.0;0.6678543645735175;6.956.257.611.605.430;0.6189607968543076;0.008981184819951693;0.9869497238889374;7,55E+10;10000.0;0.0;0.0
0.10260661040248986;0.0;-0.5323030360948438;13.691.086.150.012.100;0.14784256844097343;0.44338307458798165;6.410.462.177.745.890;8.978.700.555.185.900;12.465.020.156.269.000;2.376.557.372.957.990;29.703.077.887.718.700;7.461.990.485.247.180;16.830.265.381.387.600;0.6494040264635927;0.0;0.8307478788620134;7.125.659.920.517.860;0.6324040567811778;0.008750326839293443;0.9868802016966173;2,89E+11;10000.0;0.0;0.0
0.10260661040248986;0.0;-0.5323030360948438;13.691.086.150.012.100;0.14784256844097343;0.44338307458798165;6.410.462.177.745.890;8.978.700.555.185.900;12.465.020.156.269.000;2.376.557.372.957.990;29.703.077.887.718.700;7.461.990.485.247.180;16.830.265.381.387.600;0.6494040264635927;0.0;0.8307478788620134;7.125.659.920.517.860;0.6324040567811778;0.008750326839293443;0.9868802016966173;2,89E+11;10000.0;0.0;0.0
0.10260661040248986;0.0;-0.5323030360948438;13.691.086.150.012.100;0.14784256844097343;0.44338307458798165;6.410.462.177.745.890;8.978.700.555.185.900;12.465.020.156.269.000;2.376.557.372.957.990;29.703.077.887.718.700;7.461.990.485.247.180;16.830.265.381.387.600;0.6494040264635927;0.0;0.8307478788620134;7.125.659.920.517.860;0.6324040567811778;0.008750326839293443;0.9868802016966173;2,89E+11;10000.0;0.0;0.0
